Order Date,Customer ID,Category,Sub-Category,Product ID,Sales,Quantity,Profit,Year,Month
2016-11-08,CG-12520,Furniture,Bookcases,FUR-BO-10001798,261.96,2,41.9136,2016,2016-11
2016-11-08,CG-12520,Furniture,Chairs,FUR-CH-10000454,731.94,3,219.582,2016,2016-11
2016-06-12,DV-13045,Office Supplies,Labels,OFF-LA-10000240,14.62,2,6.8714,2016,2016-06
2015-10-11,SO-20335,Furniture,Tables,FUR-TA-10000577,957.5775,5,-383.031,2015,2015-10
2015-10-11,SO-20335,Office Supplies,Storage,OFF-ST-10000760,22.368,2,2.5164,2015,2015-10
2014-06-09,BH-11710,Furniture,Furnishings,FUR-FU-10001487,48.86,7,14.1694,2014,2014-06
2014-06-09,BH-11710,Office Supplies,Art,OFF-AR-10002833,7.28,4,1.9656,2014,2014-06
2014-06-09,BH-11710,Technology,Phones,TEC-PH-10002275,907.152,6,90.7152,2014,2014-06
2014-06-09,BH-11710,Office Supplies,Binders,OFF-BI-10003910,18.504,3,5.7825,2014,2014-06
2014-06-09,BH-11710,Office Supplies,Appliances,OFF-AP-10002892,114.9,5,34.47,2014,2014-06
2014-06-09,BH-11710,Furniture,Tables,FUR-TA-10001539,1706.184,9,85.3092,2014,2014-06
2014-06-09,BH-11710,Technology,Phones,TEC-PH-10002033,911.424,4,68.3568,2014,2014-06
2017-04-15,AA-10480,Office Supplies,Paper,OFF-PA-10002365,15.552,3,5.4432,2017,2017-04
2016-12-05,IM-15070,Office Supplies,Binders,OFF-BI-10003656,407.976,3,132.5922,2016,2016-12
2015-11-22,HP-14815,Office Supplies,Appliances,OFF-AP-10002311,68.81,5,-123.858,2015,2015-11
2015-11-22,HP-14815,Office Supplies,Binders,OFF-BI-10000756,2.544,3,-3.816,2015,2015-11
2014-11-11,PK-19075,Office Supplies,Storage,OFF-ST-10004186,665.88,6,13.3176,2014,2014-11
2014-05-13,AG-10270,Office Supplies,Storage,OFF-ST-10000107,55.5,2,9.99,2014,2014-05
2014-08-27,ZD-21925,Office Supplies,Art,OFF-AR-10003056,8.56,2,2.4824,2014,2014-08
2014-08-27,ZD-21925,Technology,Phones,TEC-PH-10001949,213.48,3,16.011,2014,2014-08
2014-08-27,ZD-21925,Office Supplies,Binders,OFF-BI-10002215,22.72,4,7.384,2014,2014-08
2016-12-09,KB-16585,Office Supplies,Art,OFF-AR-10000246,19.46,7,5.0596,2016,2016-12
2016-12-09,KB-16585,Office Supplies,Appliances,OFF-AP-10001492,60.34,7,15.6884,2016,2016-12
2017-07-16,SF-20065,Furniture,Chairs,FUR-CH-10002774,71.372,2,-1.0196,2017,2017-07
2015-09-25,EB-13870,Furniture,Tables,FUR-TA-10000577,1044.63,3,240.2649,2015,2015-09
2016-01-16,EH-13945,Office Supplies,Binders,OFF-BI-10001634,11.648,2,4.2224,2016,2016-01
2016-01-16,EH-13945,Technology,Accessories,TEC-AC-10003027,90.57,3,11.7741,2016,2016-01
2015-09-17,TB-21520,Furniture,Bookcases,FUR-BO-10004834,3083.43,7,-1665.0522,2015,2015-09
2015-09-17,TB-21520,Office Supplies,Binders,OFF-BI-10000474,9.618,2,-7.0532,2015,2015-09
2015-09-17,TB-21520,Furniture,Furnishings,FUR-FU-10004848,124.2,3,15.525,2015,2015-09
2015-09-17,TB-21520,Office Supplies,Envelopes,OFF-EN-10001509,3.264,2,1.1016,2015,2015-09
2015-09-17,TB-21520,Office Supplies,Art,OFF-AR-10004042,86.304,6,9.7092,2015,2015-09
2015-09-17,TB-21520,Office Supplies,Binders,OFF-BI-10001525,6.858,6,-5.715,2015,2015-09
2015-09-17,TB-21520,Office Supplies,Art,OFF-AR-10001683,15.76,2,3.546,2015,2015-09
2017-10-19,MA-17560,Office Supplies,Paper,OFF-PA-10000249,29.472,3,9.9468,2017,2017-10
2016-12-08,GH-14485,Technology,Phones,TEC-PH-10004977,1097.544,7,123.4737,2016,2016-12
2016-12-08,GH-14485,Furniture,Furnishings,FUR-FU-10003664,190.92,5,-147.963,2016,2016-12
2015-12-27,SN-20710,Office Supplies,Envelopes,OFF-EN-10002986,113.328,9,35.415,2015,2015-12
2015-12-27,SN-20710,Furniture,Bookcases,FUR-BO-10002545,532.3992,3,-46.9764,2015,2015-12
2015-12-27,SN-20710,Furniture,Chairs,FUR-CH-10004218,212.058,3,-15.147,2015,2015-12
2015-12-27,SN-20710,Technology,Phones,TEC-PH-10000486,371.168,4,41.7564,2015,2015-12
2017-09-10,LC-16930,Technology,Phones,TEC-PH-10004093,147.168,4,16.5564,2017,2017-09
2016-07-17,RA-19885,Office Supplies,Storage,OFF-ST-10003479,77.88,2,3.894,2016,2016-07
2017-09-19,ES-14080,Office Supplies,Storage,OFF-ST-10003282,95.616,2,9.5616,2017,2017-09
2016-03-11,ON-18715,Technology,Accessories,TEC-AC-10000171,45.98,2,19.7714,2016,2016-03
2016-03-11,ON-18715,Office Supplies,Binders,OFF-BI-10003291,17.46,2,8.2062,2016,2016-03
2014-10-20,PO-18865,Office Supplies,Storage,OFF-ST-10001713,211.96,4,8.4784,2014,2014-10
2016-06-20,LH-16900,Technology,Accessories,TEC-AC-10002167,45.0,3,4.95,2016,2016-06
2016-06-20,LH-16900,Technology,Phones,TEC-PH-10003988,21.8,2,6.104,2016,2016-06
2015-04-18,DP-13000,Office Supplies,Binders,OFF-BI-10004410,38.22,6,17.9634,2015,2015-04
2015-04-18,DP-13000,Office Supplies,Labels,OFF-LA-10002762,75.18,6,35.3346,2015,2015-04
2015-04-18,DP-13000,Furniture,Furnishings,FUR-FU-10001706,6.16,2,2.9568,2015,2015-04
2015-04-18,DP-13000,Furniture,Chairs,FUR-CH-10003061,89.99,1,17.0981,2015,2015-04
2016-12-11,JM-15265,Office Supplies,Fasteners,OFF-FA-10000304,15.26,7,6.2566,2016,2016-12
2016-12-11,JM-15265,Technology,Phones,TEC-PH-10002447,1029.95,5,298.6855,2016,2016-12
2016-06-17,TB-21055,Office Supplies,Storage,OFF-ST-10000604,208.56,6,52.14,2016,2016-06
2016-06-17,TB-21055,Office Supplies,Paper,OFF-PA-10001569,32.4,5,15.552,2016,2016-06
2016-06-17,TB-21055,Furniture,Chairs,FUR-CH-10003968,319.41,5,7.098,2016,2016-06
2016-06-17,TB-21055,Office Supplies,Paper,OFF-PA-10000587,14.56,2,6.9888,2016,2016-06
2016-06-17,TB-21055,Technology,Accessories,TEC-AC-10002167,30.0,2,3.3,2016,2016-06
2016-06-17,TB-21055,Office Supplies,Binders,OFF-BI-10001460,48.48,4,16.362,2016,2016-06
2016-06-17,TB-21055,Office Supplies,Art,OFF-AR-10001868,1.68,1,0.84,2016,2016-06
2015-11-24,KM-16720,Technology,Accessories,TEC-AC-10004633,13.98,2,6.1512,2015,2015-11
2015-11-24,KM-16720,Office Supplies,Binders,OFF-BI-10001078,25.824,6,9.3612,2015,2015-11
2015-11-24,KM-16720,Office Supplies,Paper,OFF-PA-10003892,146.73,3,68.9631,2015,2015-11
2015-11-24,KM-16720,Furniture,Furnishings,FUR-FU-10000397,79.76,4,22.3328,2015,2015-11
2015-04-30,PS-18970,Furniture,Chairs,FUR-CH-10001146,213.115,5,-15.2225,2015,2015-04
2014-12-05,BS-11590,Office Supplies,Art,OFF-AR-10002671,1113.024,8,111.3024,2014,2014-12
2014-12-05,BS-11590,Technology,Phones,TEC-PH-10002726,167.968,4,62.988,2014,2014-12
2016-06-04,KD-16270,Office Supplies,Paper,OFF-PA-10000482,75.88,2,35.6636,2016,2016-06
2016-09-18,HM-14980,Office Supplies,Binders,OFF-BI-10004654,4.616,1,1.731,2016,2016-09
2017-09-14,TB-21520,Office Supplies,Paper,OFF-PA-10004675,19.05,3,8.763,2017,2017-09
2015-04-26,JE-15745,Furniture,Chairs,FUR-CH-10000513,831.936,8,-114.3912,2015,2015-04
2015-04-26,JE-15745,Furniture,Furnishings,FUR-FU-10003708,97.04,2,1.213,2015,2015-04
2015-04-26,JE-15745,Office Supplies,Storage,OFF-ST-10004123,72.784,1,-18.196,2015,2015-04
2017-12-09,KB-16600,Office Supplies,Binders,OFF-BI-10004182,1.248,3,-1.9344,2017,2017-12
2017-12-09,KB-16600,Furniture,Furnishings,FUR-FU-10000260,9.708,3,-5.8248,2017,2017-12
2017-12-09,KB-16600,Office Supplies,Storage,OFF-ST-10000615,27.24,3,2.724,2017,2017-12
2014-11-26,JE-15745,Furniture,Furnishings,FUR-FU-10003194,19.3,5,-14.475,2014,2014-11
